,City,Date,Temp,maxDecibel,meanDecibel
0,Belhar,2022-06-04 – 03:02,15.4,51.29358636140216,49.95267807198613
0,Belhar,2022-06-04 – 03:02,15.4,51.29358636140216,49.95267807198613
0,Belhar,2022-06-04 – 03:02,15.4,51.29358636140216,49.95267807198613
0,Belhar,2022-06-04 – 03:02,15.4,51.29358636140216,49.95267807198613
0,Belhar,2022-06-04 – 03:02,15.4,51.29358636140216,49.95267807198613
0,Belhar,2022-06-04 – 03:02,15.4,51.29358636140216,49.95267807198613
0,Belhar,2022-06-04 – 03:02,15.4,51.29358636140216,49.95267807198613
0,Belhar,2022-06-04 – 03:06,15.4,30.881625963365895,32.77005021545313
0,Belhar,2022-06-04 – 03:06,15.4,27.234821796712236,27.783586763651027
0,Belhar,2022-06-04 – 03:06,15.4,62.95379156118235,62.424894179352805
0,Belhar,2022-06-04 – 03:06,15.4,54.45294352703662,55.55604882505773
0,Belhar,2022-06-04 – 03:06,15.4,61.17637480987851,60.05222469075856
0,Belhar,2022-06-04 – 03:06,15.4,49.65773674853545,48.80269714011645
0,Belhar,2022-06-04 – 03:06,15.4,55.46135894364563,53.89236905503176
0,Belhar,2022-06-04 – 03:06,15.4,38.06206481619925,37.50149034419438
0,Belhar,2022-06-04 – 03:06,15.4,84.64697061807347,83.1085042051145
0,Belhar,2022-06-04 – 03:06,15.4,57.50149034419438,57.4841011699418
0,Belhar,2022-06-04 – 03:06,15.4,50.1032646427585,50.539966447560296
0,Belhar,2022-06-04 – 03:06,15.4,46.10729246529285,46.042552615484404
0,Belhar,2022-06-04 – 03:06,15.4,27.234821796712236,28.786918952965628
